code	MWL	value
aar	3.872	short
aba	3.743	short
abb	4.376	moderately short
abd	3.5	very short
abe	4.367	moderately short
abi	4.145	moderately short
abk	3.962	short
abm	4.795	moderately long
abn	4.839	moderately long
abo	4.5	moderately short
abu	2.857	extremely short
abv	4.355	moderately short
abw	5.282	long
abz	3.833	short
ace	4.403	moderately short
acg	4.847	moderately long
ach	4.039	moderately short
aci	3.569	short
acl	3.544	short
acm	4.225	moderately short
acn	3.628	short
aco	5.206	long
acu	4.179	moderately short
adg	4.006	moderately short
adi	3.554	short
adk	3.929	short
adn	4.58	moderately long
adt	3.85	short
adz	4.613	moderately long
aea	4.897	moderately long
aeg	4.425	moderately short
ael	4.439	moderately short
afr	3.362	very short
aga	4	short
agb	3.178	very short
agc	4.833	moderately long
agd	5.338	long
agh	2.814	extremely short
agl	3.5	very short
agm	3.543	short
ago	3.513	short
agr	4.05	moderately short
agt	3.983	short
agu	3.163	very short
agw	4.679	moderately long
aho	5.694	very long
ahs	5.204	long
aht	3.362	very short
ahu	3.794	short
aik	3.949	short
ain	4.044	moderately short
aiz	3.214	very short
aja	4.136	moderately short
ajg	3.421	very short
aji	3.603	short
aka	3.429	very short
akb	4.903	moderately long
akh	3.381	very short
akl	5.059	long
akn	4.101	moderately short
ako	4.339	moderately short
akr	4.917	moderately long
akw	4.128	moderately short
ala	4.686	moderately long
alb	3.571	short
ald	3.345	very short
alg	4.875	moderately long
alk	3.923	short
all	4.145	moderately short
aln	4.586	moderately long
als	5.333	long
alt	3.706	short
alu	6.688	extremely long
alw	5.037	long
alx	4.333	moderately short
aly	4.962	moderately long
ama	4.517	moderately long
amb	3.556	short
amc	4.527	moderately long
amd	3.263	very short
ame	3.329	very short
amh	4.046	moderately short
ami	5.294	long
amk	4.846	moderately long
aml	3.833	short
amm	4.048	moderately short
amn	4.179	moderately short
amo	3	extremely short
amp	5.096	long
amq	4.353	moderately short
amr	4.175	moderately short
ams	4.454	moderately short
amu	4.575	moderately long
amx	5.868	very long
amz	3	extremely short
ana	3.974	short
anc	3.074	very short
ane	3.25	very short
ang	4.774	moderately long
ani	3.054	very short
anj	4.912	moderately long
ann	6.593	extremely long
ano	3.562	short
ant	3.923	short
anu	4.092	moderately short
anx	4.425	moderately short
any	3.461	very short
ao	3.554	short
aoj	4.912	moderately long
apa	4.274	moderately short
apc	2.914	extremely short
ape	5.282	long
api	3.108	very short
apj	3.243	very short
apk	4.859	moderately long
apl	4.385	moderately short
apt	3.318	very short
apu	4.705	moderately long
apw	3.057	very short
ara	4.816	moderately long
arb	5.566	very long
arc	3.575	short
ard	4.986	moderately long
arg	4.25	moderately short
arh	4.422	moderately short
ari	5.149	long
ark	3.912	short
arl	4.356	moderately short
arm	4.031	moderately short
aro	4.059	moderately short
arp	4.353	moderately short
arq	4.4	moderately short
ars	4.625	moderately long
arw	3.938	short
arx	4.714	moderately long
aso	3.741	short
ass	3.541	short
ast	4.654	moderately long
asu	4	short
ata	5.271	long
atb	4.503	moderately long
atc	3.432	very short
ath	4.139	moderately short
ati	4.689	moderately long
atk	2.925	extremely short
atm	4.368	moderately short
ats	4.564	moderately long
atu	4.05	moderately short
au	3.833	short
aul	4	short
auy	5.447	long
ava	3.665	short
avk	3.808	short
avo	3.38	very short
avt	4.871	moderately long
awa	4.41	moderately short
awd	3.784	short
awe	5.295	long
awi	4.274	moderately short
awk	3.385	very short
awn	3.625	short
awp	3.684	short
awt	4.432	moderately short
awy	4.424	moderately short
axv	4.392	moderately short
ayi	3.8	short
aym	4.504	moderately long
ayn	4.121	moderately short
ayr	4.8	moderately long
